date,cash,positions_value,equity
2026-05-17,0.00,10000.00,10000.00
2026-05-19,0.00,9993.18,9993.18
2026-05-20,0.00,10028.24,10028.25
2026-05-21,0.00,10281.35,10281.35
2026-05-22,0.00,10214.39,10214.39
2026-05-23,0.00,10371.13,10371.14
2026-05-27,0.00,10539.75,10539.76
2026-05-28,0.00,10420.69,10420.69
2026-05-29,0.00,10462.44,10462.44
2026-05-30,1862.23,8416.46,10278.69
2026-06-02,1862.23,8312.47,10174.70
2026-06-02,1862.23,8468.56,10330.79
2026-06-03,-0.01,10596.13,10596.12
2026-06-04,-0.01,10675.50,10675.49
2026-06-05,-0.01,9937.82,9937.81
2026-06-08,-0.01,10306.14,10306.13
2026-06-09,-0.01,10181.10,10181.09
2026-06-10,-0.01,9858.23,9858.22
2026-06-11,1407.29,8754.80,10162.09
2026-06-12,1407.29,9049.59,10456.88
